STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,AT,Austria,2019-01,,105.36,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,AT,Austria,2023-01,,129.81,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,BE,Belgium,2019-01,,105.10,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,BE,Belgium,2023-01,,130.54,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,BG,Bulgaria,2019-01,,108.24,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,BG,Bulgaria,2023-01,,163.54,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CH,Switzerland,2019-01,,102.49,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CH,Switzerland,2023-01,,104.75,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CY,Cyprus,2019-01,,104.24,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CY,Cyprus,2023-01,,116.86,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CZ,Czechia,2019-01,,107.2,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,CZ,Czechia,2023-01,,153.5,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,DE,Germany,2019-01,,107.3,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,DE,Germany,2023-01,,142.0,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,DK,Denmark,2019-01,,104.6,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,DK,Denmark,2023-01,,126.2,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2019-01,,110.45,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2023-01,,159.40,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EL,Greece,2019-01,,101.53,,,
